Time	Lead II
5.54	-0.00936358
5.55	0.0392601
5.56	0.0188691
5.57	0.0596945
5.58	0.0919274
5.59	0.0927254
5.6	0.146252
5.61	0.12164
5.62	0.136759
5.63	0.13011
5.64	0.0909882
5.65	0.0937946
5.66	0.0367049
5.67	0.0395934
5.68	0.0292311
5.69	-0.00467723
5.7	0.0234619
5.71	-0.00468998
5.72	0.0125993
5.73	0.00877301
5.74	-0.0178721
5.75	0.0191861
5.76	-0.00548584
5.77	0.0213419
5.78	0.0246145
5.79	0.0029216
5.8	0.0360381
5.81	0.00436607
5.82	0.0155013
5.83	0.00678494
5.84	-0.0184774
5.85	0.0110045
5.86	-0.0327657
5.87	-0.0228347
5.88	-0.0239908
5.89	-0.0443406
5.9	-0.00835487
5.91	-0.0436073
5.92	-0.0376075
5.93	-0.053597
5.94	-0.0750781
5.95	-0.0361839
5.96	-0.0549228
5.97	-0.0244989
5.98	-0.0161549
5.99	-0.0225429
6	0.0201814
6.01	-0.0169212
6.02	-0.0152432
6.03	-0.0419457
6.04	-0.0865671
6.05	-0.084013
6.06	-0.133634
6.07	-0.111697
6.08	-0.119178
6.09	-0.13746
6.1	-0.0940392
6.11	-0.126486
6.12	-0.100817
6.13	-0.0396961
6.14	0.129298
6.15	0.374604
6.16	0.329606
6.17	0.110925
6.18	-0.108359
6.19	-0.174123
6.2	-0.106148
6.21	-0.0974514
6.22	-0.0513104
6.23	-0.0490386
6.24	-0.0528852
6.25	-0.0115423
6.26	0.0250488
6.27	0.0492464
6.28	0.0242039
6.29	-0.0234016
6.3	0.000378266
6.31	-0.0281832
6.32	-0.00211963
6.33	0.0160687
6.34	0.00464417
6.35	0.0515378
6.36	0.0365749
6.37	0.0806828
6.38	0.116553
6.39	0.110599
6.4	0.145747
6.41	0.110911
6.42	0.119006
6.43	0.106606
6.44	0.0680072
6.45	0.0762146
6.46	0.0122305
6.47	0.00677212
6.48	-0.00656127
6.49	-0.029614
6.5	0.00650264
6.51	-0.0244737
6.52	-0.0152537
6.53	-0.0269261
6.54	-0.0476032
6.55	-0.00685756
6.56	-0.0330892
6.57	-0.0105343
6.58	-0.00796158
6.59	-0.029487
6.6	0.00183427
6.61	-0.0320349
6.62	-0.0136727
6.63	-0.0181136
6.64	-0.0494275
6.65	-0.02945
6.66	-0.0620509
6.67	-0.0388599
6.68	-0.0356941
6.69	-0.0540802
6.7	-0.0258765
6.71	-0.0574094
6.72	-0.0338819
6.73	-0.0406638
6.74	-0.0628441
6.75	-0.0259719
6.76	-0.0401658
6.77	0.0035517
6.78	0.0209214
6.79	0.0076999
6.8	0.0378783
6.81	0.000376172
6.82	0.0019501
6.83	-0.034968
6.84	-0.0847317
6.85	-0.0603433
6.86	-0.0937661
6.87	-0.0766703
6.88	-0.0787406
6.89	-0.0919241
6.9	-0.0701594
6.91	-0.0977579
6.92	0.0217082
6.93	0.235999
6.94	0.419423
6.95	0.375742
6.96	0.0769454
6.97	-0.0848792
6.98	-0.120522
6.99	-0.096705
7	-0.0370533
7.01	-0.0521789
7.02	-0.0128657
7.03	-0.0141385
7.04	-0.0340042
7.05	-0.00410725
7.06	-0.0348231
7.07	-0.00496336
7.08	-0.00694159
7.09	-0.0107834
7.1	0.0316471
7.11	-0.00218625
7.12	-0.0186437
7.13	0.012186
7.14	0.0277069
7.15	0.0911878
7.16	0.0868971
7.17	0.12845
7.18	0.143889
7.19	0.122117
7.2	0.157016
7.21	0.119605
7.22	0.11112
7.23	0.0827863
7.24	0.0338622
7.25	0.0447939
7.26	-0.00345835
7.27	-0.000882294
7.28	-0.0111236
7.29	-0.0419304
7.3	-0.0107972
7.31	-0.0454598
7.32	-0.0305567
7.33	-0.0362036
7.34	-0.0623401
7.35	-0.0251891
7.36	-0.0508193
7.37	-0.0299619
7.38	-0.024827
7.39	-0.0411291
7.4	-0.00198292
7.41	-0.0337343
7.42	-0.0184201
7.43	-0.0274333
7.44	-0.0540622
7.45	-0.0120412
7.46	-0.038522
7.47	-0.0234611
7.48	-0.0327711
7.49	-0.0571772
7.5	-0.0283476
7.51	-0.0646725
7.52	-0.0480776
7.53	-0.0548224
7.54	-0.0532612
7.55	0.00584232
7.56	-0.0152801
7.57	0.0159689
7.58	0.0283181
7.59	0.0149883
7.6	0.0373652
7.61	-0.00379671
7.62	0.00150753
7.63	-0.0291031
7.64	-0.0704831
7.65	-0.0478892
7.66	-0.0817067
7.67	-0.0610858
7.68	-0.0661779
7.69	-0.0843205
7.7	-0.0578863
7.71	-0.0394615
7.72	0.139706
7.73	0.36093
7.74	0.40989
7.75	0.245272
7.76	-0.0333572
7.77	-0.120316
7.78	-0.117677
7.79	-0.0915165
7.8	-0.0288749
7.81	-0.0394881
7.82	-0.00564825
7.83	-0.0120212
7.84	-0.0250109
7.85	0.000128601
7.86	-0.0352519
7.87	-0.00158548
